student_id,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,certifications,python_skill,java_skill,cpp_skill,javascript_skill,react_skill,sql_skill,machine_learning_skill,data_science_skill,django_skill,fastapi_skill,nodejs_skill,git_skill,aws_skill,docker_skill,communication_score,aptitude_score,projects,coding_score,attendance,extracurricular,placed
1000,8.82,97.4,90,0,2,6,1,1,1,1,1,1,1,0,1,1,0,1,1,1,80.7,90,5,93.4,98.7,2,1
1001,7.3,100,83.55,0,0,7,0,1,1,0,0,1,0,1,0,0,0,1,0,0,73.1,81.2,7,71.8,74.6,3,1
1002,7.4,81.59,66.69,2,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,64.6,60.8,3,70.8,78.5,1,0
1003,7.33,93.44,71.92,1,0,4,1,0,1,1,1,1,1,1,0,0,0,0,1,0,59,79.2,4,83.1,84.4,0,1
1004,6.77,79.99,88.24,2,0,6,1,0,0,0,1,1,0,1,1,0,0,1,0,0,65.4,71.9,3,52.4,88,3,0
1005,7.43,83.85,64.94,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,63.1,81.8,6,100,85.5,0,0
1006,7.59,79.97,66.04,1,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,65.5,75.8,2,50.9,85.6,3,0
1007,7.77,88.94,90.95,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,82.3,64.4,3,52.1,87.6,2,1
1008,7.51,95.63,77.62,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,76.8,71.2,0,45.7,100,3,1
1009,6.38,89.04,95.87,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53.9,45.5,4,44.4,85.5,0,0
1010,7.06,84.65,100,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,85.2,58.1,0,56.5,68.2,1,1
1011,8.27,77.83,94.95,0,1,4,1,0,0,0,0,1,1,0,0,1,1,1,1,0,66.7,96.1,4,53.2,80.7,0,1
1012,4.58,75.8,77.73,0,1,3,1,0,0,1,1,1,1,0,0,0,1,1,0,0,49.9,65.7,0,90.9,73.8,3,0
1013,8.03,80.11,81.87,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,91.7,61.4,4,80.3,79.7,2,1
1014,8.67,84.17,86.14,0,0,6,0,0,0,1,1,1,0,0,0,0,1,1,1,0,68.2,82.6,1,70.8,82.2,1,1
1015,7.37,88.91,92.22,0,0,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,65.8,67.9,4,55.9,87.2,1,1
1016,7.79,77.38,84.67,4,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,70.2,100,5,69,98.8,1,0
1017,6.77,82.74,67.8,0,4,8,1,1,0,0,1,0,0,0,0,0,0,0,0,1,69,63.8,4,67.7,78.2,2,0
1018,5.96,94.83,78.97,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,70.7,91.3,5,65.1,96.1,1,0
1019,7.6,85.36,90.38,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,83.7,73,4,82.5,82.8,3,1
1020,5.97,83.56,83.46,0,1,3,1,1,0,1,0,1,1,1,1,0,1,1,1,0,56.8,59.7,2,71.6,84.7,1,1
1021,6.42,83.18,80.38,2,3,6,1,0,0,1,1,1,0,0,0,0,0,1,1,0,70.4,82.5,0,68.9,78.7,1,0
1022,7.38,76.36,65.54,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,54.9,81.9,2,53.4,86.8,1,0
1023,9.22,84.22,81.15,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,98.6,92.3,1,56.2,79.1,1,1
1024,6.9,88.56,73.13,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,46.7,30.9,3,76.5,68.8,1,1
1025,6.78,85.36,80.8,0,1,5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,84.7,55.3,1,62.2,85.8,1,1
1026,7.79,82.25,87.46,3,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,86,83.6,6,38.4,65.1,0,0
1027,7.04,94.3,76,0,2,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,95,76.9,4,48.4,91.8,3,1
1028,6.79,87.77,96.94,0,2,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,68.2,80.3,6,47.2,97.1,1,0
1029,7.57,94.16,72.63,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,60.5,70.2,3,37.9,82.7,2,1
1030,7.68,82.85,74.84,0,1,3,1,0,1,0,1,1,0,0,0,0,0,1,1,1,91.1,82,0,60.4,80.1,0,0
1031,8.64,78.36,73.45,1,2,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,46.6,94.5,1,73.8,80.3,3,0
1032,7.03,92.39,73.66,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93.8,70.6,2,27.5,72.3,3,0
1033,7.33,73.69,80.91,0,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,65.1,71,4,47.4,86.8,2,0
1034,6.95,72.75,71.69,1,0,3,0,1,1,1,0,1,0,0,0,0,1,1,0,0,72.6,58.6,3,73.9,72.8,0,0
1035,9.13,88,84.79,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,81.5,70,6,36.7,90.6,0,1
1036,6.53,92.43,79.64,2,3,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,63.5,69.2,5,66.7,91.1,3,1
1037,8.46,93.79,73.85,0,3,8,1,0,0,1,1,1,1,0,0,1,1,0,0,0,55,78.2,4,58.5,100,3,1
1038,8.39,82.29,79.55,1,0,8,1,0,1,1,1,1,0,0,1,0,0,0,0,1,76.9,89.3,2,68,91.1,2,1
1039,6.99,86.75,76.61,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,58.2,67.9,1,37.7,86.8,0,0
1040,7.03,85.79,79.85,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,95.9,65.5,2,77.3,95.7,1,1
1041,7.63,78.48,84.45,2,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,72.5,74.1,3,88,85.3,0,0
1042,8.47,75.79,81.2,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,75.3,52.7,5,54.9,78.7,0,1
1043,8.14,92.97,91.79,0,1,3,1,0,1,0,1,1,1,0,0,0,0,0,1,0,79.9,78.8,2,63.2,90.9,2,1
1044,8.08,94.63,81.77,2,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,95.2,79.8,1,52.8,91.4,2,0
1045,7.88,83.81,74.86,0,1,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,73.9,56,3,44.1,85,2,0
1046,7.55,78.82,86.28,1,2,2,1,0,1,0,1,1,1,1,0,1,0,1,1,0,72.8,67.6,5,88.7,88.5,1,1
1047,9.43,76.53,86.78,5,0,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,68.5,94.7,0,67.2,85.3,2,0
1048,7.34,91.07,85.87,3,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,75.5,62.6,4,53.7,70.8,3,0
1049,6.49,90.46,68.79,0,4,2,1,1,0,1,0,1,1,0,0,1,1,1,0,0,87,66.7,2,71.2,80.8,2,1
1050,8.43,85.91,77.67,0,0,3,1,0,1,1,0,0,1,0,0,0,0,1,0,0,68.9,84.6,6,78.2,83.2,0,1
1051,6.56,86.21,74.14,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,0,1,84.1,64.2,6,68.9,83.3,2,1
1052,8.95,87.63,77.8,0,2,5,0,1,0,1,1,1,0,0,0,0,1,1,1,1,89.3,92.6,4,59.6,93.7,2,0
1053,8.41,66.01,73.85,2,0,2,1,1,1,1,0,0,0,0,1,1,1,1,0,1,67.4,76.3,2,100,62.5,0,1
1054,5.98,83.21,71.1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,83.2,69.9,3,47.2,75.1,3,0
1055,7.11,93.65,83.46,3,1,2,0,1,1,0,1,0,0,0,1,0,0,1,1,0,65,74.8,5,53.1,78.7,0,1
1056,7.54,82.82,88.67,0,1,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,92.9,58.3,3,50.5,100,0,1
1057,6.4,77.93,80.3,2,3,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,57.2,69.2,3,37,87.1,1,0
1058,6.84,93.89,89.82,3,0,2,1,0,1,0,1,0,0,0,1,1,1,1,1,0,72,40.5,1,86.8,90.5,1,0
1059,7.96,100,69.82,0,4,5,0,1,0,1,0,0,0,0,0,1,1,1,0,0,70.7,70.6,1,80.1,84.9,2,1
1060,7.48,90.54,92.51,0,1,2,1,1,0,0,0,1,1,0,0,1,0,1,0,0,67.4,64.8,1,54,90,0,1
